track_id,track_name,track_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_sec,time_signature
7HhyLr4dm0wZylFWYz9mSw,Nightingale,Dirt Poor Robins,0.214,0.365,3,-9.466,1,0.0337,0.909,0.00202,0.107,0.112,130.426,239,3
7extBYaQIMjgCXWjdj2xwJ,Real Thing,Bondax,0.808,0.681,2,-5.959,0,0.0367,0.0949,0.0198,0.25,0.612,108.982,216,4
5aTqkzPP9PJ7wta153R5Xt,Shake It Out,Grace Love and the True Loves,0.626,0.724,10,-6.031,0,0.0641,0.144,0.000104,0.0676,0.754,130.673,200,4
1hlgcF5OeXLywadYzMrWuE,It's over Now,Kennedy Administration,0.72,0.831,1,-4.731,1,0.187,0.0489,0,0.0743,0.667,107.124,229,4
5FS2gDV79Kz3WI2aZNBga2,Matches (Prod. Rube) [feat. Dem Atlas],Guante,0.727,0.918,6,-4.232,1,0.215,0.118,0,0.141,0.815,95.455,244,4
35Cy1KKtZ9YfuDAOAmzc4R,Our Affairs,Cory Henry & The Funk Apostles,0.817,0.586,11,-9.521,0,0.0802,0.0263,0.00464,0.0812,0.752,107.972,321,4
6R3h3NApczKdF0GHqLD1Iv,Buddha (feat. Johnny O'Hagan),Strawberry Girls,0.282,0.815,11,-6.976,0,0.0389,0.000588,0.79,0.119,0.11,145.978,393,3
0k5M5HOsekGYn7GKVUfBGc,Step By Step,Jesse Winchester,0.522,0.463,9,-10.341,0,0.0393,0.258,0,0.159,0.92,171.682,177,4
3AsxPFJbPVU3wUnPrDLn4s,Holding My Own,Her Songs,0.675,0.54,8,-6.26,0,0.0382,0.632,0.0000619,0.176,0.41,89.014,204,4
0ulct3cASnhGvaGhFIuIyZ,Temptation,Raveena,0.734,0.541,7,-8.86,1,0.131,0.454,0.000851,0.132,0.501,140.044,249,4
6yViG0VPb3CCDIOwzAAzhq,Lightwork,Tinie Tempah,0.814,0.904,1,-1.951,1,0.0553,0.018,0.000124,0.0647,0.491,105.029,224,4
3UXrGL6fSOpHRE0SoyX6ez,Gangsta Song,E-40,0.799,0.685,7,-4.672,1,0.18,0.118,0,0.491,0.357,97.962,210,4
1nIKpbGBEPidzXgWrdnh1H,Jumbo,Punch Brothers,0.773,0.28,8,-12.355,0,0.0694,0.964,0.0128,0.131,0.372,93.521,216,4
0XOMoQbYxYPVLxwK4VDmNA,All Of A Sudden,Lil Baby,0.759,0.732,1,-5.546,1,0.118,0.000142,0.0016,0.0626,0.379,140.005,169,4
2XOBCQRuNNeOt6HnHV12x2,Afterglow,Tkay Maidza,0.746,0.793,7,-6.12,1,0.0791,0.0018,0.0572,0.262,0.392,100.046,180,4
39quck8Ns0AgGSpWZBsJ4M,Numbers,The Flower Kings,0.231,0.758,9,-6.535,0,0.0594,0.326,0.000535,0.106,0.185,165.705,1527,4
3rt0G9i8LVEWyJyTPyl5pV,Leftside,Audio Push,0.626,0.838,9,-3.88,0,0.281,0.227,0,0.202,0.784,94.207,182,4
5QguCySD3HC1yB22ejFjAz,Move Forward,The Lox,0.637,0.921,4,-2.004,0,0.276,0.186,0,0.0819,0.91,94.057,229,4
7jKUnzzOGhAlPjr7LkIUlE,Momma I Hit A Lick (feat. Kendrick Lamar),2 Chainz,0.796,0.467,11,-6.293,1,0.34,0.202,0.0000332,0.206,0.4,179.974,174,3
2jB4X5P7fMfpG3Nj8jrgCG,Death Or Devotion,The Motet,0.824,0.492,10,-6.328,0,0.128,0.143,0.00179,0.0694,0.864,89.962,266,4
41uX0L4bro4KfKtDIIEFFe,FUN!,Vince Staples,0.953,0.554,0,-5.12,1,0.076,0.616,0.000869,0.106,0.457,101.011,171,4
